dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,dimension,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,theory_ber,hdc_head,hybrid_mode,frontend,mix,method_label
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.05,0,0.0,1,0.9411764705882353,0.903617566184983,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.050029754638671875,0.05,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
sim_indoor_v1,test_id,hybrid_hdc,512,512.0,0.1,0,0.0,1,0.9428334714167357,0.9076278908395177,0.0,0.0,0.0,0.0,163880,2010644,a46535d,4096,False,0,none,none,32,0.10019302368164062,0.1,linear,task/scan/linear/record,scan,record,hybrid_hdc:task/scan/linear/record
sim_indoor_v1,test_id,binary_hash,512,512.0,0.0,0,0.0,2,0.9221209610604806,0.8766804510670834,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.0,,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.01,0,0.0,2,0.9154929577464789,0.8709984581765239,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.05,0,0.0,2,0.875724937862469,0.821259547619636,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,,,,,binary_hash
sim_indoor_v1,test_id,binary_hash,512,512.0,0.1,0,0.0,2,0.8376139188069595,0.7614697551533712,0.0,0.0,0.0,0.0,81940,2949120,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,,,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,2,0.7332228666114333,0.6651585878194195,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.0,,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.01,0,0.0,2,0.7340513670256835,0.6657106025336534,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.009738922119140625,0.01,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.05,0,0.0,2,0.7332228666114333,0.6665796438495676,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.049762725830078125,0.05,prototype,,,,pure_hdc_D4096
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.1,0,0.0,2,0.7299088649544325,0.6618901973604304,0.0,0.0,0.0,0.0,81940,868352,a46535d,4096,False,0,none,none,32,0.09943389892578125,0.1,prototype,,,,pure_hdc_D4096
