dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,binary_hash,2048,2048.0,0.0,0,0.0,1,0.6255168340224454,0.555392723616166,0.0,0.0,0.0,0.0,327700,11796480,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,16384.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,1,0.7340513670256835,0.6674203746920458,0.0,0.0,0.0,0.0,327700,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,16384.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,1,0.7182516243354992,0.6075822116228354,0.0,0.0,0.0,0.0,327700,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,16384.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,1,0.9536039768019884,0.9256166292361476,0.0,0.0,0.0,0.0,5243200,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,16384.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,1,0.8493797991730656,0.7139561080000169,0.0,0.0,0.0,0.0,5243200,3473408,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,16384.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,2048,2048.0,0.0,0,0.0,1,0.9792874896437448,0.963157824289518,0.0,0.0,0.0,0.0,655400,3473408,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,16384.0,linear,1.0,hdc_linear
sim_indoor_v1,test_ood,pure_hdc,2048,2048.0,0.0,0,0.0,1,0.8204370939161252,0.6608655346438601,0.0,0.0,0.0,0.0,655400,3473408,f288d40,,False,0,none,none,32,0.0,hdc_linear,k16_bandwidth,16384.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,quantized,128,128.0,0.0,0,0.0,2,0.743993371996686,0.6417276583909448,0.0,0.0,0.0,0.0,2420,0,f288d40,120.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_ood,quantized,128,128.0,0.0,0,0.0,2,0.7341996455995274,0.6016337567289469,0.0,0.0,0.0,0.0,2420,0,f288d40,120.0,False,0,none,none,32,0.0,quantized,k16_bandwidth,,,,quantized
sim_indoor_v1,test_id,binary_hash,128,128.0,0.0,0,0.0,2,0.8641259320629661,0.792292318851233,0.0,0.0,0.0,0.0,20500,737280,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,1024.0,,,binary_hash
sim_indoor_v1,test_ood,binary_hash,128,128.0,0.0,0,0.0,2,0.5977554636739516,0.5207732383732556,0.0,0.0,0.0,0.0,20500,737280,f288d40,,False,0,none,none,32,0.0,binary_hash,k16_bandwidth,1024.0,,,binary_hash
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.7299088649544325,0.6580900876489179,0.0,0.0,0.0,0.0,20500,217088,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.7046662728883638,0.5906111442520425,0.0,0.0,0.0,0.0,20500,217088,f288d40,,False,0,none,none,32,0.0,hdc_k1,k16_bandwidth,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,2,0.9511184755592378,0.9176879347849665,0.0,0.0,0.0,0.0,328000,217088,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,2,0.8428824571766096,0.7082699519943823,0.0,0.0,0.0,0.0,328000,217088,f288d40,,False,0,none,none,32,0.0,hdc_k16,k16_bandwidth,1024.0,prototype,16.0,hdc_k16
