dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,invalid_mode,method_tag,sweep,dataset_name,label_source,theory_ber,dimension,hdc_head,n_centroids,method_label
lidardataframes_v1,test_id,pure_hdc,128,128.0,0.1,0,0.0,1,0.9759036144578314,0.975,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.1010284423828125,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,1,0.9878048780487805,0.9874921826141339,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.0,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,1,0.9878048780487805,0.9874921826141339,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.050750732421875,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,1,0.975609756097561,0.9751889887319926,0.0,0.0,0.0,0.0,32800,217088,2cb4d3c,,False,0,none,none,32,0.1010284423828125,skip,hdc_linear,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,1024.0,linear,1.0,hdc_linear
lidardataframes_v1,test_id,quantized,128,128.0,0.0,0,0.0,2,0.9036144578313253,0.898989898989899,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,,,,quantized
lidardataframes_v1,test_id,quantized,128,128.0,0.05,0,0.0,2,0.6265060240963856,0.6164944013781224,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0500030517578125,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,,,,quantized
lidardataframes_v1,test_id,quantized,128,128.0,0.1,0,0.0,2,0.40963855421686746,0.3868623206858501,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.1000518798828125,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.0,0,0.0,2,0.8536585365853658,0.8418458781362007,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.05,0,0.0,2,0.5487804878048781,0.5377388727624577,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.0500030517578125,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.05,,,,quantized
lidardataframes_v1,test_ood,quantized,128,128.0,0.1,0,0.0,2,0.4268292682926829,0.4095238095238095,0.0,0.0,0.0,0.0,1936,0,2cb4d3c,120.0,False,0,none,none,32,0.1000518798828125,fill,quantized,k16_lidardataframes,lidardataframes_v1,author_lidardataframes_place_tags,0.1,,,,quantized
