dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,snr_db,fading,coherence_symbols,empirical_ber,theory_ber,channel_kind,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.6544595392793857,0.5652283300851353,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,bpsk,-2.0,rayleigh_block,32,0.189727783203125,0.18900836834134227,bpsk_rayleigh_block,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.00019090777407599314,0,0.0,0,0.6922622563496751,0.5918421229475819,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,8.0,none,32,0.000152587890625,0.00019090777407599314,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.01250081804073755,0,0.0,0,0.6934435912581217,0.5913191150324346,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,4.0,none,32,0.0121002197265625,0.01250081804073755,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.07864960352514258,0,0.0,0,0.6798582398109864,0.577073195060435,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,0.0,none,32,0.0784149169921875,0.07864960352514258,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.13064448852282917,0,0.0,0,0.6804489072652097,0.5792886532168751,0.0,0.0,0.0,0.0,20500,217088,232e20a,,False,0,none,-2.0,none,32,0.130126953125,0.13064448852282917,matched_ber,hdc_k1,k16_radio,1024.0,prototype,1.0,hdc_k1
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9544324772162386,0.9278985983135135,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,8.0,none,32,0.0001373291015625,0.00019090777407599314,bpsk_awgn,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9536039768019884,0.9263270144801734,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,4.0,none,32,0.01251220703125,0.01250081804073755,bpsk_awgn,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.951946975973488,0.9200121064880677,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,0.0,none,32,0.077789306640625,0.07864960352514258,bpsk_awgn,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9469759734879868,0.9118380902006601,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,-2.0,none,32,0.129974365234375,0.13064448852282917,bpsk_awgn,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9536039768019884,0.922849631034318,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,8.0,rayleigh_block,32,0.033599853515625,0.03545906762783807,bpsk_rayleigh_block,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.951946975973488,0.9222842118066048,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,4.0,rayleigh_block,32,0.074371337890625,0.07713691605639106,bpsk_rayleigh_block,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.9486329743164872,0.9190139443577587,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,0.0,rayleigh_block,32,0.1430816650390625,0.1464466094067262,bpsk_rayleigh_block,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.0,0,0.947804473902237,0.9195137235447319,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,bpsk,-2.0,rayleigh_block,32,0.1863250732421875,0.18900836834134227,bpsk_rayleigh_block,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.00019090777407599314,0,0.0,0,0.9544324772162386,0.9278985983135135,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,none,8.0,none,32,0.000152587890625,0.00019090777407599314,matched_ber,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.01250081804073755,0,0.0,0,0.9527754763877382,0.9239001824500006,0.0,0.0,0.0,0.0,328000,217088,232e20a,,False,0,none,4.0,none,32,0.0121002197265625,0.01250081804073755,matched_ber,hdc_k16,k16_radio,1024.0,prototype,16.0,hdc_k16
