dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,sensor,method_tag,sweep,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5936207914943886,0.4218593091607241,0.0,0.0,0.0,0.0,1311040,868352,f288d40,beam_drop:drop_rate=0.3,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.5717660956881275,0.40198315265898665,0.0,0.0,0.0,0.0,1311040,868352,f288d40,sector_drop:fraction=0.15,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.44654459539279384,0.19601701367979532,0.0,0.0,0.0,0.0,1311040,868352,f288d40,sector_drop:fraction=0.3,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.783225044300059,0.6416752451822079,0.0,0.0,0.0,0.0,1311040,868352,f288d40,range_bias:bias=0.25,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6857649143532192,0.5663297905903177,0.0,0.0,0.0,0.0,1311040,868352,f288d40,range_scale:scale=1.15,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.8464264619019493,0.7031152296462839,0.0,0.0,0.0,0.0,1311040,868352,f288d40,gauss:sigma=0.05,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.848198464264619,0.702911141583462,0.0,0.0,0.0,0.0,1311040,868352,f288d40,gauss:sigma=0.15,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,512,512.0,0.0,0,0.0,0,0.6993502658003544,0.6023454623885012,0.0,0.0,0.0,0.0,1311040,868352,f288d40,clip:clip_to=6.0,hdc_k16,k16_sensor,4096.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.9784589892294946,0.9617930178238968,0.0,0.0,0.0,0.0,163880,868352,f288d40,clean,hdc_linear,k16_sensor,4096.0,linear,1.0,hdc_linear
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.0,0,0.7580778790389395,0.693564058619079,0.0,0.0,0.0,0.0,163880,868352,f288d40,beam_drop:drop_rate=0.1,hdc_linear,k16_sensor,4096.0,linear,1.0,hdc_linear
