dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,n_comp,dimension
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.05,3,0.7340513670256835,0.6685620651291825,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.1,3,0.7290803645401823,0.6619357282199981,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.2,3,0.7290803645401823,0.662668983407084,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,pure_hdc,512,512.0,0.0,0,0.4,3,0.7265948632974316,0.6559385822793505,0.0,0.0,0.0,0.0,81940,868352,51d3d02,,False,0,,4096.0
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.0,4,0.7473073736536868,0.6436382849372578,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.01,4,0.7415078707539354,0.6425821275632472,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.05,4,0.7100248550124275,0.6167085846783273,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.1,4,0.6727423363711682,0.5849347973335558,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.2,4,0.5981772990886496,0.5273993049347631,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
sim_indoor_v1,test_id,quantized,512,188.0,0.0,0,0.4,4,0.43496271748135873,0.39978904365007045,0.0,0.0,0.0,0.0,3620,0,51d3d02,180.0,False,0,,
