dataset,split,method,budget_bytes,actual_bytes,ber,burst_length,packet_loss_rate,seed,accuracy,macro_f1,encode_ms_median,encode_ms_p95,classify_ms_median,classify_ms_p95,model_bytes,shared_memory_bytes,git_commit,n_keep,interleave,n_bursts,modulation,fading,coherence_symbols,empirical_ber,method_tag,sweep,noise_kind,theory_ber,dimension,hdc_head,n_centroids,method_label
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,512,0.0,0,0.13587406793703397,0.12588902751449843,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,1,none,none,32,0.5,hdc_k16,k16_noise,burst,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.05,0,0.9527754763877382,0.9232644196529011,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.01776123046875,hdc_k16,k16_noise,plr,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.1,0,0.9494614747307374,0.9164237688436009,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.03302001953125,hdc_k16,k16_noise,plr,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_id,pure_hdc,128,128.0,0.0,0,0.2,0,0.9444904722452361,0.909370111300546,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.082305908203125,hdc_k16,k16_noise,plr,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,0,0.0,0,0.8281157708210277,0.6860870661433925,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0,hdc_k16,k16_noise,ber,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.01,0,0.0,0,0.8281157708210277,0.687189061007661,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0093841552734375,hdc_k16,k16_noise,ber,0.01,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.05,0,0.0,0,0.8269344359125812,0.687486529430542,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.04931640625,hdc_k16,k16_noise,ber,0.05,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.1,0,0.0,0,0.8186650915534555,0.6770448821859057,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,0,none,none,32,0.0994720458984375,hdc_k16,k16_noise,ber,0.1,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,128,0.0,0,0.8186650915534555,0.6765255736514367,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,1,none,none,32,0.125,hdc_k16,k16_noise,burst,,1024.0,prototype,16.0,hdc_k16
sim_indoor_v1,test_ood,pure_hdc,128,128.0,0.0,512,0.0,0,0.18901358535144713,0.1451688399646867,0.0,0.0,0.0,0.0,328000,217088,2dc1b09,,False,1,none,none,32,0.5,hdc_k16,k16_noise,burst,,1024.0,prototype,16.0,hdc_k16
